dataset,problem,expected,predicted,is_correct,model_raw_output
integer,-94 - 84,-178.0,-10.0,False,-10
integer,-94 + 77,-17.0,-17.0,True,-17
integer,-5 + -64,-69.0,-69.0,True,-69
integer,20 + -44,-24.0,-24.0,True,-24
integer,24 + -34,-10.0,-10.0,True,-10
integer,-5 + -6,-11.0,-11.0,True,-11
integer,-87 + 78,-9.0,-9.0,True,-9
integer,55 + 84,139.0,139.0,True,139
integer,5 + 22,27.0,27.0,True,27
integer,-56 - 87,-143.0,-141.0,False,-141
integer,-25 - 70,-95.0,-95.0,True,-95
integer,35 - 64,-29.0,-29.0,True,-29
integer,-19 - -61,42.0,22.0,False,22
integer,2 - -41,43.0,61.0,False,61
integer,-30 + 67,37.0,37.0,True,37
integer,-83 - 78,-161.0,5.0,False,5
integer,-58 - 79,-137.0,-121.0,False,-121
integer,91 + 53,144.0,144.0,True,144
integer,9 + 52,61.0,61.0,True,61
integer,-100 - -95,-5.0,5.0,False,5
integer,-10 - -36,26.0,26.0,True,26
integer,-3 + 25,22.0,22.0,True,22
integer,79 + 31,110.0,110.0,True,110
integer,-90 + 31,-59.0,-59.0,True,-59
integer,81 + -9,72.0,72.0,True,72
integer,-50 + 83,33.0,33.0,True,33
integer,14 - 100,-86.0,-86.0,True,-86
integer,39 + 49,88.0,88.0,True,88
integer,28 - 10,18.0,18.0,True,18
integer,-42 - 83,-125.0,-121.0,False,-121
integer,64 + 49,113.0,113.0,True,113
integer,-59 - -62,3.0,17.0,False,17
integer,69 - 74,-5.0,-5.0,True,-5
integer,21 - -75,96.0,-54.0,False,-54
integer,38 - -38,76.0,76.0,True,76
integer,53 + -98,-45.0,-45.0,True,-45
integer,-93 - -73,-20.0,20.0,False,20
integer,27 - -61,88.0,-34.0,False,-34
integer,-49 - -7,-42.0,42.0,False,42
integer,-24 - -45,21.0,69.0,False,69
integer,-57 + 66,9.0,9.0,True,9
integer,69 - -36,105.0,33.0,False,33
integer,-99 - 44,-143.0,-43.0,False,-43
integer,-44 + 61,17.0,17.0,True,17
integer,-46 - -91,45.0,55.0,False,55
integer,-8 + -18,-26.0,-26.0,True,-26
integer,12 - -48,60.0,60.0,True,60
integer,9 + 2,11.0,11.0,True,11
integer,22 + -2,20.0,20.0,True,20
integer,-44 - 37,-81.0,-81.0,True,-81
integer,-91 - 74,-165.0,17.0,False,17
integer,25 + 4,29.0,29.0,True,29
integer,4 + -88,-84.0,-84.0,True,-84
integer,99 + 30,129.0,129.0,True,129
integer,61 - -100,161.0,61.0,False,61 + 100 = 161
integer,-21 + -34,-55.0,-55.0,True,-55
integer,-94 + -93,-187.0,-187.0,True,-187
integer,9 - -21,30.0,28.0,False,28
integer,56 - 44,12.0,12.0,True,12
integer,6 + 98,104.0,104.0,True,104
integer,27 - -13,40.0,14.0,False,14
integer,10 + 86,96.0,96.0,True,96
integer,-22 - -75,53.0,47.0,False,47
integer,-41 + 39,-2.0,-2.0,True,-2
integer,73 + 24,97.0,97.0,True,97
integer,68 + 94,162.0,162.0,True,162
integer,-96 - 40,-136.0,-56.0,False,-56
integer,50 + 12,62.0,62.0,True,62
integer,-93 - -55,-38.0,38.0,False,38
integer,63 + -27,36.0,36.0,True,36
integer,52 + -95,-43.0,-43.0,True,-43
integer,-41 + 9,-32.0,-32.0,True,-32
integer,68 + -98,-30.0,-30.0,True,-30
integer,-37 + -59,-96.0,-96.0,True,-96
integer,7 - 80,-73.0,-73.0,True,-73
integer,-47 + -5,-52.0,-52.0,True,-52
integer,7 + 30,37.0,37.0,True,37
integer,14 + -60,-46.0,-46.0,True,-46
integer,3 + -19,-16.0,-16.0,True,-16
integer,-45 - -37,-8.0,8.0,False,8
integer,-48 + 71,23.0,23.0,True,23
integer,-5 + 100,95.0,95.0,True,95
integer,79 - 9,70.0,70.0,True,70
integer,38 - -43,81.0,5.0,False,5
integer,-47 + -7,-54.0,-54.0,True,-54
integer,-76 - -67,-9.0,9.0,False,9
integer,37 + 10,47.0,47.0,True,47
integer,-19 + 66,47.0,47.0,True,47
integer,30 - -50,80.0,30.0,False,30 + 50 =
integer,-82 - 1,-83.0,-83.0,True,-83
integer,-30 - -66,36.0,54.0,False,54
integer,0 - -1,1.0,1.0,True,1
integer,-19 - 9,-28.0,-28.0,True,-28
integer,77 - -28,105.0,45.0,False,45
integer,27 + -6,21.0,21.0,True,21
integer,-6 + -72,-78.0,-78.0,True,-78
integer,-21 - -85,64.0,94.0,False,94
integer,-53 + 90,37.0,37.0,True,37
integer,-32 + 60,28.0,28.0,True,28
integer,-69 - -25,-44.0,44.0,False,44
integer,-71 + -42,-113.0,-113.0,True,-113
integer,-29 - -33,4.0,-4.0,False,-4
integer,2 - 57,-55.0,-55.0,True,-55
integer,-58 - -53,-5.0,5.0,False,5
integer,77 - 73,4.0,4.0,True,4
integer,18 + 63,81.0,81.0,True,81
integer,58 + -81,-23.0,-23.0,True,-23
integer,-98 + -15,-113.0,-113.0,True,-113
integer,-96 - -90,-6.0,6.0,False,6
integer,-32 + -8,-40.0,-40.0,True,-40
integer,24 - 41,-17.0,-17.0,True,-17
integer,41 - -44,85.0,-3.0,False,-3
integer,78 - -87,165.0,-9.0,False,-9
integer,-46 + 72,26.0,26.0,True,26
integer,-38 + 64,26.0,26.0,True,26
integer,31 + -55,-24.0,-24.0,True,-24
integer,-34 + 62,28.0,28.0,True,28
integer,58 - -20,78.0,78.0,True,78
integer,97 - 73,24.0,24.0,True,24
integer,75 + -25,50.0,50.0,True,50
integer,-44 - 50,-94.0,-94.0,True,-94
integer,46 - -39,85.0,7.0,False,7
integer,-57 + -47,-104.0,-104.0,True,-104
integer,75 + -13,62.0,62.0,True,62
integer,-92 - 49,-141.0,-141.0,True,-141
integer,37 + 7,44.0,44.0,True,44
integer,44 + 17,61.0,61.0,True,61
integer,-79 + 42,-37.0,-37.0,True,-37
integer,-58 + -25,-83.0,-83.0,True,-83
integer,71 + -87,-16.0,-16.0,True,-16
integer,-35 - 30,-65.0,-65.0,True,-65
integer,5 - 4,1.0,,False,assistant
integer,-9 + -78,-87.0,-87.0,True,-87
integer,-62 - -38,-24.0,24.0,False,24
integer,81 + -26,55.0,55.0,True,55
integer,61 - -22,83.0,39.0,False,39
integer,-42 - -32,-10.0,10.0,False,10
integer,94 + 35,129.0,129.0,True,129
integer,-84 - 97,-181.0,-113.0,False,-113
integer,-48 - 9,-57.0,-57.0,True,-57
integer,53 - 88,-35.0,-35.0,True,-35
integer,28 - 45,-17.0,-17.0,True,-17
integer,94 + -48,46.0,46.0,True,46
integer,6 + 21,27.0,27.0,True,27
integer,-62 - 60,-122.0,-2.0,False,-2
integer,85 - 18,67.0,67.0,True,67
integer,-28 + 27,-1.0,-1.0,True,-1
integer,14 + -6,8.0,8.0,True,8
integer,-74 - -53,-21.0,21.0,False,21
integer,-30 - 36,-66.0,-66.0,True,-66
integer,-43 - -20,-23.0,23.0,False,23
integer,-8 - -4,-4.0,4.0,False,4
integer,-50 + 98,48.0,48.0,True,48
integer,12 + -85,-73.0,-73.0,True,-73
integer,73 + 14,87.0,87.0,True,87
integer,50 - -62,112.0,12.0,False,12
integer,-79 - 52,-131.0,-131.0,True,-131
integer,-100 + 100,0.0,0.0,True,0
integer,44 - -36,80.0,8.0,False,8
integer,-43 + -73,-116.0,-116.0,True,-116
integer,-73 + -1,-74.0,-74.0,True,-74
integer,-65 + 57,-8.0,-8.0,True,-8
integer,-88 + -61,-149.0,-149.0,True,-149
integer,-55 - 28,-83.0,-83.0,True,-83
integer,29 + -1,28.0,28.0,True,28
integer,41 + 65,106.0,106.0,True,106
integer,93 + 28,121.0,121.0,True,121
integer,-86 + 83,-3.0,-3.0,True,-3
integer,2 - 49,-47.0,-47.0,True,-47
integer,-75 + -98,-173.0,-173.0,True,-173
integer,-77 - -92,15.0,15.0,True,15
integer,-96 + -47,-143.0,-143.0,True,-143
integer,80 + 97,177.0,177.0,True,177
integer,-79 - 71,-150.0,-8.0,False,-8
integer,-88 + 64,-24.0,24.0,False,24
integer,18 - 29,-11.0,-11.0,True,-11
integer,94 + -7,87.0,87.0,True,87
integer,-7 + 18,11.0,11.0,True,11
integer,67 - 11,56.0,56.0,True,56
integer,-58 + 20,-38.0,-38.0,True,-38
integer,-91 - 60,-151.0,31.0,False,31
integer,51 + -35,16.0,16.0,True,16
integer,33 - 12,21.0,21.0,True,21
integer,60 + 35,95.0,95.0,True,95
integer,-89 - 0,-89.0,-89.0,True,-89
integer,-77 - 96,-173.0,-119.0,False,-119
integer,-90 - -31,-59.0,59.0,False,59
integer,4 - 83,-79.0,-79.0,True,-79
integer,-100 + 67,-33.0,-33.0,True,-33
integer,-1 + -82,-83.0,-83.0,True,-83
integer,30 + 12,42.0,42.0,True,42
integer,-23 + -10,-33.0,-33.0,True,-33
integer,-47 + 61,14.0,14.0,True,14
integer,80 - 28,52.0,52.0,True,52
integer,-88 + -11,-99.0,-99.0,True,-99
integer,-22 - -1,-21.0,21.0,False,21
integer,-30 + -69,-99.0,-99.0,True,-99
integer,-24 - -71,47.0,53.0,False,53
integer,-59 - 88,-147.0,-129.0,False,-129
integer,88 + 75,163.0,163.0,True,163
integer,-38 + -59,-97.0,-97.0,True,-97
integer,-45 + -4,-49.0,-49.0,True,-49
integer,29 - 39,-10.0,-10.0,True,-10
integer,-54 + 88,34.0,34.0,True,34
integer,62 + 37,99.0,99.0,True,99
integer,40 + -70,-30.0,-30.0,True,-30
integer,-15 - 1,-16.0,-14.0,False,-14
integer,-2 + 44,42.0,42.0,True,42
integer,45 + 5,50.0,50.0,True,50
integer,-89 - 74,-163.0,-15.0,False,-15
integer,40 + -74,-34.0,-34.0,True,-34
integer,-27 + 98,71.0,71.0,True,71
integer,-65 + 50,-15.0,-15.0,True,-15
integer,70 + -69,1.0,1.0,True,1
integer,-14 + 23,9.0,9.0,True,9
integer,-46 + -36,-82.0,-82.0,True,-82
integer,-9 - -54,45.0,63.0,False,63
integer,14 - -32,46.0,-18.0,False,-18
integer,-44 + -37,-81.0,-81.0,True,-81
integer,89 - -54,143.0,35.0,False,35
integer,-58 + -11,-69.0,-69.0,True,-69
integer,-82 - 5,-87.0,-87.0,True,-87
integer,-42 + 88,46.0,46.0,True,46
integer,-30 + -91,-121.0,-121.0,True,-121
integer,-64 + 59,-5.0,-5.0,True,-5
integer,30 + 5,35.0,35.0,True,35
integer,-20 + 95,75.0,75.0,True,75
integer,-36 + -22,-58.0,-58.0,True,-58
integer,-3 + -53,-56.0,-56.0,True,-56
integer,30 + -30,0.0,,False,assistant
integer,-46 + -26,-72.0,-72.0,True,-72
integer,8 + -65,-57.0,-57.0,True,-57
integer,-27 - -27,0.0,0.0,True,0
integer,-38 + 69,31.0,31.0,True,31
integer,-77 + 76,-1.0,-1.0,True,-1
integer,56 + 71,127.0,127.0,True,127
integer,17 - -89,106.0,26.0,False,26
integer,58 + -20,38.0,38.0,True,38
integer,-14 + 13,-1.0,-1.0,True,-1
integer,96 - 86,10.0,10.0,True,10
integer,-91 - -97,6.0,-6.0,False,-6
integer,-71 + -71,-142.0,0.0,False,0
integer,-34 + -62,-96.0,-96.0,True,-96
integer,37 - -75,112.0,-38.0,False,-38
integer,-57 + -80,-137.0,-137.0,True,-137
integer,-36 - 1,-37.0,-35.0,False,-35
integer,-50 - -57,7.0,7.0,True,7
integer,-36 + 52,16.0,16.0,True,16
integer,95 + 64,159.0,159.0,True,159
integer,-34 + 9,-25.0,-25.0,True,-25
integer,93 - 60,33.0,33.0,True,33
integer,-17 - -5,-12.0,12.0,False,12
integer,77 - 6,71.0,71.0,True,71
integer,-43 - -57,14.0,-14.0,False,-14
integer,0 + 70,70.0,70.0,True,70
integer,-63 + -55,-118.0,-118.0,True,-118
integer,29 + -83,-54.0,-54.0,True,-54
integer,48 - -30,78.0,18.0,False,18
integer,96 + -64,32.0,32.0,True,32
integer,-3 - -1,-2.0,2.0,False,2
integer,100 - 74,26.0,26.0,True,26
integer,64 - -68,132.0,-4.0,False,-4
integer,78 - -90,168.0,12.0,False,12
integer,96 + 49,145.0,145.0,True,145
integer,55 - -15,70.0,40.0,False,40
integer,-28 + -15,-43.0,-43.0,True,-43
integer,-39 - 88,-127.0,-47.0,False,-47
integer,-91 + -75,-166.0,-166.0,True,-166
integer,-78 + -41,-119.0,-119.0,True,-119
integer,-34 - -20,-14.0,14.0,False,14
integer,1 + -67,-66.0,-66.0,True,-66
integer,-29 + -69,-98.0,-98.0,True,-98
integer,28 - -58,86.0,-30.0,False,-30
integer,-54 - 74,-128.0,-128.0,True,-128
integer,-71 - -89,18.0,160.0,False,160
integer,-78 - 3,-81.0,-81.0,True,-81
integer,92 - 25,67.0,67.0,True,67
integer,27 + -31,-4.0,-4.0,True,-4
integer,-86 - -19,-67.0,67.0,False,67
integer,-69 + -17,-86.0,-86.0,True,-86
integer,91 - -8,99.0,83.0,False,83
integer,-25 - -53,28.0,-28.0,False,-28
integer,80 + 77,157.0,157.0,True,157
integer,-11 - -26,15.0,37.0,False,37
integer,45 - 96,-51.0,-51.0,True,-51
integer,94 - 85,9.0,9.0,True,9
integer,54 - -97,151.0,57.0,False,57
integer,-49 - 14,-63.0,-63.0,True,-63
integer,71 - 7,64.0,64.0,True,64
integer,-47 + -77,-124.0,-124.0,True,-124
integer,91 + -79,12.0,12.0,True,12
integer,97 + -53,44.0,44.0,True,44
integer,86 - 27,59.0,59.0,True,59
integer,-33 - 72,-105.0,-105.0,True,-105
integer,83 - 86,-3.0,-3.0,True,-3
integer,-1 - 26,-27.0,-27.0,True,-27
integer,-66 - -37,-29.0,29.0,False,29
integer,-58 + 68,10.0,10.0,True,10
integer,78 + -16,62.0,62.0,True,62
integer,-77 - -69,-8.0,8.0,False,8
integer,-61 - 14,-75.0,-75.0,True,-75
integer,-86 + 1,-85.0,-85.0,True,-85
integer,-34 + -70,-104.0,-104.0,True,-104
integer,100 + -24,76.0,76.0,True,76
integer,-69 + -100,-169.0,-131.0,False,-131
integer,-55 + -10,-65.0,-65.0,True,-65
integer,-50 - -22,-28.0,28.0,False,28
integer,-89 - -88,-1.0,1.0,False,1
integer,12 + 54,66.0,66.0,True,66
integer,-100 - -57,-43.0,43.0,False,43
integer,-90 - -36,-54.0,54.0,False,54
integer,-61 + 22,-39.0,-39.0,True,-39
integer,-4 + 26,22.0,22.0,True,22
integer,52 + 94,146.0,146.0,True,146
integer,-65 + -88,-153.0,-113.0,False,-113
integer,-70 + 42,-28.0,-28.0,True,-28
integer,11 - 87,-76.0,-76.0,True,-76
integer,-59 + -58,-117.0,-117.0,True,-117
integer,-68 + 87,19.0,19.0,True,19
integer,-23 - 48,-71.0,-71.0,True,-71
integer,-81 - 45,-126.0,-126.0,True,-126
integer,84 - -9,93.0,93.0,True,93
integer,10 + -15,-5.0,-5.0,True,-5
integer,-27 + -78,-105.0,-105.0,True,-105
integer,53 + 12,65.0,65.0,True,65
integer,32 + -17,15.0,15.0,True,15
integer,46 + 52,98.0,98.0,True,98
integer,88 - -13,101.0,75.0,False,75
integer,-16 - -37,21.0,53.0,False,53
integer,80 + -43,37.0,37.0,True,37
integer,-26 - -67,41.0,53.0,False,53
integer,-36 + -49,-85.0,-85.0,True,-85
integer,-38 - 50,-88.0,-112.0,False,-112
integer,-70 - 95,-165.0,-125.0,False,-125
integer,-43 - 49,-92.0,-92.0,True,-92
integer,-1 + 79,78.0,78.0,True,78
integer,-48 + -57,-105.0,-105.0,True,-105
integer,36 + 55,91.0,91.0,True,91
integer,-36 + 70,34.0,34.0,True,34
integer,92 + -10,82.0,82.0,True,82
integer,68 - -93,161.0,-25.0,False,-25
integer,30 - -34,64.0,-4.0,False,-4
integer,-12 + 10,-2.0,-2.0,True,-2
integer,-59 - -55,-4.0,4.0,False,4
integer,22 + 8,30.0,30.0,True,30
integer,65 - -35,100.0,30.0,False,30
integer,78 + 12,90.0,90.0,True,90
integer,95 + 3,98.0,98.0,True,98
integer,-56 - 75,-131.0,-131.0,True,-131
integer,-13 + 38,25.0,25.0,True,25
integer,7 + 32,39.0,39.0,True,39
integer,-57 - 52,-109.0,-5.0,False,-5
integer,-72 + -67,-139.0,5.0,False,5
integer,1 + -52,-51.0,-51.0,True,-51
integer,-99 + 100,1.0,1.0,True,1
integer,-43 - 25,-68.0,18.0,False,18
integer,-80 + -73,-153.0,-153.0,True,-153
integer,-37 + 37,0.0,0.0,True,0
integer,-53 - 59,-112.0,-106.0,False,-106
integer,0 + -46,-46.0,-46.0,True,-46
integer,34 - 62,-28.0,-28.0,True,-28
integer,25 + 74,99.0,99.0,True,99
integer,17 + -93,-76.0,-76.0,True,-76
integer,-90 - -9,-81.0,81.0,False,81
integer,-48 - -88,40.0,56.0,False,56
integer,69 - 4,65.0,65.0,True,65
integer,-99 + -90,-189.0,-189.0,True,-189
integer,-21 - -68,47.0,49.0,False,49
integer,-91 - -49,-42.0,42.0,False,42
integer,-63 + -59,-122.0,-122.0,True,-122
integer,52 + -26,26.0,26.0,True,26
integer,12 - -47,59.0,-35.0,False,-35
integer,36 - -21,57.0,15.0,False,15
integer,-77 + 68,-9.0,-9.0,True,-9
integer,-22 - 92,-114.0,-110.0,False,-110
integer,30 - -97,127.0,127.0,True,127
integer,89 - 6,83.0,83.0,True,83
integer,60 + 65,125.0,125.0,True,125
integer,76 - -2,78.0,74.0,False,74
integer,3 - -16,19.0,21.0,False,21
integer,21 - 48,-27.0,-27.0,True,-27
integer,-38 + -74,-112.0,-112.0,True,-112
integer,54 - -29,83.0,25.0,False,25
integer,-9 + -17,-26.0,-26.0,True,-26
integer,-99 - 61,-160.0,38.0,False,38
integer,42 - -99,141.0,41.0,False,41
integer,64 - -17,81.0,47.0,False,47
integer,-90 + 80,-10.0,-10.0,True,-10
integer,11 + -97,-86.0,-86.0,True,-86
integer,-91 + 4,-87.0,-87.0,True,-87
integer,-62 - -56,-6.0,6.0,False,6
integer,96 - 64,32.0,32.0,True,32
integer,-57 - 21,-78.0,-76.0,False,-76
integer,13 - 47,-34.0,-34.0,True,-34
integer,76 - 6,70.0,70.0,True,70
integer,22 - 87,-65.0,-65.0,True,-65
integer,13 + 55,68.0,68.0,True,68
integer,10 - -45,55.0,-35.0,False,-35
integer,-46 + 39,-7.0,-7.0,True,-7
integer,82 - 31,51.0,51.0,True,51
integer,61 + -19,42.0,42.0,True,42
integer,6 - -26,32.0,-20.0,False,-20
integer,-57 + 68,11.0,11.0,True,11
integer,-64 - 50,-114.0,-114.0,True,-114
integer,44 + 94,138.0,138.0,True,138
integer,63 + -100,-37.0,-37.0,True,-37
integer,-80 - 77,-157.0,-157.0,True,-157
integer,-95 - 59,-154.0,-154.0,True,-154
integer,-24 + 20,-4.0,-4.0,True,-4
integer,-52 + 32,-20.0,-20.0,True,-20
integer,-85 + 36,-49.0,-49.0,True,-49
integer,-99 - -56,-43.0,43.0,False,43
integer,-47 + 3,-44.0,-44.0,True,-44
integer,6 - 5,1.0,1.0,True,1
integer,-1 + 53,52.0,52.0,True,52
integer,39 + -91,-52.0,-52.0,True,-52
integer,8 + 43,51.0,51.0,True,51
integer,40 - -72,112.0,68.0,False,68
integer,-75 - -42,-33.0,33.0,False,33
integer,81 - 88,-7.0,-7.0,True,-7
integer,27 + -89,-62.0,-62.0,True,-62
integer,11 + -100,-89.0,-89.0,True,-89
integer,-23 - 81,-104.0,-104.0,True,-104
integer,-68 + -79,-147.0,-147.0,True,-147
integer,32 - -93,125.0,125.0,True,125
integer,80 - 14,66.0,66.0,True,66
integer,-19 + -75,-94.0,-94.0,True,-94
integer,-84 + -23,-107.0,-107.0,True,-107
integer,0 - -11,11.0,11.0,True,11
integer,82 - -55,137.0,27.0,False,27
integer,46 + 65,111.0,111.0,True,111
integer,-19 + -91,-110.0,-110.0,True,-110
integer,30 - -71,101.0,-41.0,False,-41
integer,-87 - -93,6.0,6.0,True,6
integer,55 + -17,38.0,38.0,True,38
integer,21 + -10,11.0,11.0,True,11
integer,10 - -27,37.0,37.0,True,37
integer,17 - -68,85.0,45.0,False,45
integer,-9 + -92,-101.0,-101.0,True,-101
integer,-73 + 11,-62.0,-62.0,True,-62
integer,-29 - -36,7.0,-7.0,False,-7
integer,81 - 7,74.0,74.0,True,74
integer,-5 + 76,71.0,71.0,True,71
integer,-82 - -92,10.0,10.0,True,10
integer,50 - -44,94.0,6.0,False,6
integer,-72 + 41,-31.0,-31.0,True,-31
integer,-43 + -81,-124.0,-124.0,True,-124
integer,10 + 22,32.0,32.0,True,32
integer,6 - 56,-50.0,-50.0,True,-50
integer,-27 - 77,-104.0,-104.0,True,-104
integer,1 - 0,1.0,1.0,True,1
integer,7 - -64,71.0,-57.0,False,-57
integer,74 - 32,42.0,42.0,True,42
integer,-29 + 94,65.0,65.0,True,65
integer,-59 + 51,-8.0,-8.0,True,-8
integer,-59 - -36,-23.0,23.0,False,23
integer,63 - 59,4.0,4.0,True,4
integer,80 - -44,124.0,124.0,True,124
integer,23 + -74,-51.0,-51.0,True,-51
integer,-94 - -8,-86.0,-86.0,True,-86
integer,-85 + 64,-21.0,21.0,False,21
integer,-100 + -20,-120.0,-120.0,True,-120
integer,-94 - 56,-150.0,-150.0,True,-150
integer,88 + -86,2.0,2.0,True,2
integer,-60 - -17,-43.0,43.0,False,43
integer,-7 - 11,-18.0,-18.0,True,-18
integer,-97 + 15,-82.0,-82.0,True,-82
integer,55 - -7,62.0,48.0,False,48
integer,-78 + -85,-163.0,-163.0,True,-163
integer,92 + -14,78.0,78.0,True,78
integer,16 - 66,-50.0,-50.0,True,-50
integer,-93 + -64,-157.0,-157.0,True,-157
integer,-32 + -35,-67.0,-67.0,True,-67
integer,-32 - -16,-16.0,16.0,False,16
integer,38 - -62,100.0,-24.0,False,-24
integer,15 - 0,15.0,15.0,True,15
integer,84 - -15,99.0,69.0,False,69
integer,-12 + 86,74.0,74.0,True,74
integer,29 + -13,16.0,16.0,True,16
integer,39 - 86,-47.0,-47.0,True,-47
integer,82 + 70,152.0,152.0,True,152
integer,-44 + -70,-114.0,-114.0,True,-114
integer,-67 - 86,-153.0,-113.0,False,-113
integer,47 + 99,146.0,146.0,True,146
integer,-41 + 37,-4.0,-4.0,True,-4
integer,19 + 75,94.0,94.0,True,94
integer,-44 - -44,0.0,0.0,True,0
integer,-51 - -4,-47.0,47.0,False,47
integer,-78 + 84,6.0,6.0,True,6
integer,98 + 27,125.0,125.0,True,125
integer,-51 + -71,-122.0,-122.0,True,-122
integer,13 - 100,-87.0,-87.0,True,-87
integer,-2 + 88,86.0,86.0,True,86
integer,38 + -95,-57.0,-57.0,True,-57
integer,86 - -48,134.0,38.0,False,38
integer,30 - -72,102.0,-42.0,False,-42
integer,-89 - 38,-127.0,-127.0,True,-127
integer,-79 - 68,-147.0,-147.0,True,-147
integer,79 - -3,82.0,76.0,False,76
integer,69 - 77,-8.0,-8.0,True,-8
integer,65 + -25,40.0,40.0,True,40
integer,-15 - -8,-7.0,7.0,False,7
integer,-10 + 86,76.0,76.0,True,76
integer,-2 + -40,-42.0,-42.0,True,-42
integer,-40 + -60,-100.0,-100.0,True,-100
integer,-100 + 24,-76.0,-76.0,True,-76
integer,5 - -89,94.0,14.0,False,14
integer,33 + -44,-11.0,-11.0,True,-11
integer,-87 + -43,-130.0,-130.0,True,-130
integer,-91 - -52,-39.0,39.0,False,39
integer,25 - -85,110.0,150.0,False,150
integer,-65 + -78,-143.0,-143.0,True,-143
integer,28 + 51,79.0,79.0,True,79
integer,-76 - 81,-157.0,-97.0,False,-97
integer,89 - -82,171.0,7.0,False,7
integer,95 - 73,22.0,22.0,True,22
integer,16 - 35,-19.0,-19.0,True,-19
integer,97 - 57,40.0,40.0,True,40
integer,41 + -49,-8.0,-8.0,True,-8
integer,53 - 19,34.0,34.0,True,34
integer,-21 + 38,17.0,17.0,True,17
integer,74 - -56,130.0,18.0,False,18
integer,60 - -12,72.0,48.0,False,48
integer,92 + -77,15.0,15.0,True,15
integer,13 - -33,46.0,-20.0,False,-20
integer,-40 - 65,-105.0,-105.0,True,-105
integer,77 - 98,-21.0,-21.0,True,-21
integer,-41 - -5,-36.0,36.0,False,36
integer,-78 - -49,-29.0,29.0,False,29
integer,-66 + -43,-109.0,-109.0,True,-109
integer,-63 - -55,-8.0,18.0,False,18
integer,9 - 27,-18.0,-18.0,True,-18
integer,73 + 45,118.0,118.0,True,118
integer,-9 + -35,-44.0,-44.0,True,-44
integer,1 + 54,55.0,55.0,True,55
integer,94 + -16,78.0,78.0,True,78
integer,44 + 56,100.0,100.0,True,100
integer,-11 - 32,-43.0,-43.0,True,-43
integer,36 - -85,121.0,-49.0,False,-49
integer,77 + 36,113.0,113.0,True,113
integer,71 - 64,7.0,7.0,True,7
integer,71 + -100,-29.0,-29.0,True,-29
integer,-32 + -64,-96.0,-96.0,True,-96
integer,20 - 46,-26.0,-26.0,True,-26
integer,23 - -53,76.0,-30.0,False,-30
integer,-97 + 37,-60.0,60.0,False,60
integer,59 + -9,50.0,50.0,True,50
integer,-27 - 77,-104.0,-104.0,True,-104
integer,90 + -49,41.0,41.0,True,41
integer,-9 - 99,-108.0,-90.0,False,-90
integer,55 + 18,73.0,73.0,True,73
integer,50 - -82,132.0,68.0,False,68
integer,32 + -62,-30.0,-30.0,True,-30
integer,-3 - 93,-96.0,-96.0,True,-96
integer,-59 + -58,-117.0,-117.0,True,-117
integer,-38 + -33,-71.0,-71.0,True,-71
integer,-49 - -75,26.0,26.0,True,26
integer,53 + -89,-36.0,-36.0,True,-36
integer,-63 - -62,-1.0,1.0,False,1
integer,-5 - 21,-26.0,-26.0,True,-26
